,id,conversation_id,date,username,tweet_processed,hashtags,tweet_original,target
3920,7.54772E+17,7.54772E+17,7/17/2016,unwinat,Can't stop listening to the  album  so beautiful  pic.twitter.com/NoKZ0e1Hlp,"['#anohni', '#hopelessness']",Can't stop listening to the #anohni album #hopelessness so beautiful  pic.twitter.com/NoKZ0e1Hlp,0
3936,7.53925E+17,7.53925E+17,7/15/2016,oluwatobis5,We need a newspaper/channel that shows only positive n inspirational stories.This period of  is awful why  album is apt,"['#hopelessness', '#anohni']",We need a newspaper/channel that shows only positive n inspirational stories.This period of #hopelessness is awful why #Anohni album is apt,0
3937,7.53918E+17,7.53918E+17,7/15/2016,dennismillerceo,Is it today? It can be!  to choose happiness + success over  + failure  pic.twitter.com/g48kuK2vEo,"['#changeyourmind', '#hopelessness']",Is it today? It can be! #ChangeYourMind to choose happiness + success over #hopelessness + failure  pic.twitter.com/g48kuK2vEo,0
3957,7.53076E+17,7.53076E+17,7/13/2016,az_encarnacion,"This  album is beautiful but lyrically creepy, in a good way. ","['#anohni', '#hopelessness']","This #Anohni album is beautiful but lyrically creepy, in a good way. #Hopelessness",0
3967,7.52751E+17,7.52751E+17,7/12/2016,coffeejunkiev, trying to promote your video to a youtuber over 100k is simply pointless  ,"['#tbh', '#sad', '#hopelessness']",#tbh trying to promote your video to a youtuber over 100k is simply pointless #sad #hopelessness,0
3977,7.51782E+17,7.51782E+17,7/9/2016,nellokie,Hopelessness is the enemy of .  prevails where  persists. â€” Bryan Stevenson,"['#justice', '#injustice', '#hopelessness']",Hopelessness is the enemy of #justice. #Injustice prevails where #hopelessness persists. â€” Bryan Stevenson,0
4000,7.51189E+17,7.51189E+17,7/7/2016,cissiecharlton,@ANOHNItweets completely brilliant performance - so moving and honest  ,"['#hopelessness', '#barbican']",@ANOHNItweets completely brilliant performance - so moving and honest #hopelessness #Barbican,0
4002,7.51184E+17,7.51161E+17,7/7/2016,thesvelteone,"Perhaps she's the ghosts of past, present & future, all rolled into one. But then there might be hope, & I'm not sure there is ",['#hopelessness'],"Perhaps she's the ghosts of past, present & future, all rolled into one. But then there might be hope, & I'm not sure there is #hopelessness",0
4008,7.51162E+17,7.51161E+17,7/7/2016,thesvelteone,ANOHNI asks basic questions of your soul and strips you bare. AND the music and visuals are incredible.   Fucking hell.  ,['#hopelessness'],ANOHNI asks basic questions of your soul and strips you bare. AND the music and visuals are incredible.   Fucking hell.  #HOPELESSNESS,0
4011,7.51154E+17,7.51154E+17,7/7/2016,baileyology,At last something honest and noble   utterly despairing but somehow full of hope,"['#anohni', '#hopelessness']",At last something honest and noble #anohni #Hopelessness utterly despairing but somehow full of hope,0
4024,7.50087E+17,7.50087E+17,7/4/2016,rockartfashion,Superb artistic performance  at  What a voice !!! ,"['#anohni', '#philarmonieparis', '#hopelessness']",Superb artistic performance #Anohni at #Philarmonieparis What a voice !!! #hopelessness,0
1,5.50438E+17,5.50438E+17,12/31/2014,lisbethge91,DA NEW YR ALONE I AM  BCAUSE OF WAT HAPPENED 2ME ND NOW YA'LL WANA MAKE MY  WORSE!?!I'VE TRIED MY BEST 2GIVE CHANCES I_,"['#depressed', '#depression']",DA NEW YR ALONE I AM #DEPRESSED BCAUSE OF WAT HAPPENED 2ME ND NOW YA'LL WANA MAKE MY #DEPRESSION WORSE!?!I'VE TRIED MY BEST 2GIVE CHANCES I_,1
3,5.50436E+17,5.50436E+17,12/31/2014,kaylajean421,Let me just sit here and wallow in self pity ,['#depressed'],Let me just sit here and wallow in self pity #depressed,1
5,5.5043E+17,5.5043E+17,12/31/2014,kmulaniff713,When you ask for a triple chocolate melt down and the waiter tells you no...  ,"['#depressed', '#sosad']",When you ask for a triple chocolate melt down and the waiter tells you no... #depressed #sosad,0
6,5.50428E+17,5.50428E+17,12/31/2014,redneckgirl_6,"First breakdown at work ),: more to come ill bet money on it ",['#depressed'],"First breakdown at work ),: more to come ill bet money on it #depressed",1
8,5.50426E+17,5.50426E+17,12/31/2014,kim_is__bored,I DONT wanna cry or feel sorry for myself. Its just so hard sometimes watching your sick son in the hospital day after day.  ,"['#sad', '#depressed']",I DONT wanna cry or feel sorry for myself. Its just so hard sometimes watching your sick son in the hospital day after day. #sad #depressed,1
13,5.50423E+17,5.50423E+17,12/31/2014,ward_kerry1,Bought a lottery ticket again for tonight in the hope I'll win enough to escape Saturday til Monday to clear my head a bit  ,"['#depressed', '#sad']",Bought a lottery ticket again for tonight in the hope I'll win enough to escape Saturday til Monday to clear my head a bit #depressed #sad,1
22,5.50408E+17,5.50408E+17,12/31/2014,2bipolarchicks,"I hate it when someone says, ""Why are you ? You have nothing to be depressed about?"" It's chemical! I  can't help it!! ","['#depressed', '#bipolar']","I hate it when someone says, ""Why are you #depressed? You have nothing to be depressed about?"" It's chemical! I  can't help it!! #bipolar",1
23,5.50408E+17,5.50408E+17,12/31/2014,j_haley33,Really wish the gym wasnt closed tomorrow ... ,['#depressed'],Really wish the gym wasnt closed tomorrow ... #depressed,1
25,5.50407E+17,5.50407E+17,12/31/2014,jackohaschips,50 ppl are in this house trying to use wifi. ,['#depressed'],50 ppl are in this house trying to use wifi. #depressed,0
26,5.50407E+17,5.50407E+17,12/31/2014,colinfurness1,Working New Year's Eve ???? Not going to Newcastle tomorrow ???§ ,['#depressed'],Working New Year's Eve ???? Not going to Newcastle tomorrow ???§ #depressed,0
30,5.50402E+17,5.50402E+17,12/31/2014,ang_ninja00,Fuck surgery. Fuck laying here watching days pass. I'll just sleep through New Year's Eve. ,['#depressed'],Fuck surgery. Fuck laying here watching days pass. I'll just sleep through New Year's Eve. #depressed,1
35,5.50396E+17,5.50396E+17,12/31/2014,stellzbellz1219,"I'm sinking so fast, I don't even know where to start to save myself.  ","['#bipolar', '#depressed']","I'm sinking so fast, I don't even know where to start to save myself. #bipolar #depressed",1
36,5.50395E+17,5.50395E+17,12/31/2014,genesimmonsphd," or ? National  Prevention Lifeline offers help, 24/7. 1-800-273-TALK (8255)","['#depressed', '#anxious', '#suicide']","#Depressed or #Anxious? National #Suicide Prevention Lifeline offers help, 24/7. 1-800-273-TALK (8255)",0
39,5.50391E+17,5.50391E+17,12/31/2014,jess_kmn,"Its the 31.12.14, 22:34  in South Africa right now & I am literally alone on New Years Eve. Literally.   ","['#foreveralone', '#depressed', '#greatstart']","Its the 31.12.14, 22:34  in South Africa right now & I am literally alone on New Years Eve. Literally. #foreveralone #depressed #greatstart",1
40,5.5039E+17,5.5039E+17,12/31/2014,gfoley7,Wanted a sweater but promised I wouldn't buy one for the rest of this month ,['#depressed'],Wanted a sweater but promised I wouldn't buy one for the rest of this month #depressed,0
41,5.5039E+17,5.5039E+17,12/31/2014,k_shock,"For the first time in quite a while, I don't think I've even seen enough movies to make kshock's top 10 films of the year.  ???“",['#depressed'],"For the first time in quite a while, I don't think I've even seen enough movies to make kshock's top 10 films of the year. #depressed ???“",0
43,5.50383E+17,5.50383E+17,12/31/2014,kthugnasty,Closing New Years Eve and opening New Years Day.. ,['#depressed'],Closing New Years Eve and opening New Years Day.. #depressed,0
44,5.50381E+17,5.50381E+17,12/31/2014,wreckedgreg," and . Not , just disappointed","['#cold', '#alone', '#depressed']","#cold and #alone. Not #depressed, just disappointed",0
52,5.50371E+17,5.50371E+17,12/31/2014,abimagauran,"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable... ???°???°???°???©",['#depressed'],"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable...#depressed ???°???°???°???©",0
53,5.50369E+17,5.50369E+17,12/31/2014,mikeintowncun,"RT KatelynTiffner:  because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",['#depressed'],"RT KatelynTiffner: #depressed because I had a dream ralligatorrr & I were on springbreak in cancun, woke up and realized I was still in O...",0
54,5.50365E+17,5.50365E+17,12/31/2014,londonmental,I feel so mentally tortured right now. Dunno what to do  &  Feel completely out of control.,"['#depressed', '#suicidal']",I feel so mentally tortured right now. Dunno what to do #depressed & #Suicidal Feel completely out of control.,1
57,5.50358E+17,5.50358E+17,12/31/2014,marwasultan112,Leaving in 2 days    ??’”??’”???­???­???­???­???­???­???­???­???­???­,"['#depressed', '#examsareintwoweeks', '#snowymalta']",Leaving in 2 days #Depressed #ExamsAreInTwoWeeks #SnowyMalta ??’”??’”???­???­???­???­???­???­???­???­???­???­,0
59,5.50356E+17,5.50356E+17,12/31/2014,benilett,Not making any plans to go out tonight is already proving to be a regrettable decision...  ,"['#nightin', '#depressed']",Not making any plans to go out tonight is already proving to be a regrettable decision... #NightIn #depressed,1
61,5.5035E+17,5.5035E+17,12/31/2014,sara_socks,"Hope everyone has a good New Years tonight, coz mines gonna be shit!   ","['#moody', '#pissedoff', '#depressed']","Hope everyone has a good New Years tonight, coz mines gonna be shit! #moody #pissedoff #depressed",1
63,5.5035E+17,5.5035E+17,12/31/2014,pipes_2016,Super depressed for no reason! Yaayyy. Screw my life lol   ,"['#depressed', '#fornoreason', '#newyearseve']",Super depressed for no reason! Yaayyy. Screw my life lol #depressed #fornoreason #NewYearsEve,1
64,5.50349E+17,5.50349E+17,12/31/2014,esha291, little miss Debbie downer over here.,['#depressed'],#Depressed little miss Debbie downer over here.,0
65,5.50345E+17,5.50345E+17,12/31/2014,tishabignell,Can't believe I'm missing my favourite night ??’” ,['#depressed'],Can't believe I'm missing my favourite night ??’” #depressed,1
66,5.50344E+17,5.50344E+17,12/31/2014,sara_beara101,"Last year I was at the bar all night, getting free drinks, and making out with a stripper. This year I'll be in bed by 9:30. ",['#depressed'],"Last year I was at the bar all night, getting free drinks, and making out with a stripper. This year I'll be in bed by 9:30. #depressed",0
68,5.50343E+17,5.50343E+17,12/31/2014,jswat7,Why can't I go Super Saiyan? ,['#depressed'],Why can't I go Super Saiyan? #depressed,0
70,5.50342E+17,5.50342E+17,12/31/2014,scotty_lawrence,Happy new year to everyone and all the best for 2015  ,"['#depressed', '#stuckoffshore']",Happy new year to everyone and all the best for 2015 #depressed #stuckoffshore,0
73,5.50334E+17,5.50334E+17,12/31/2014,ciwi__,trying to get over that i worked boxing night and am working tonight.. oh and im starting to get the flu.. ,['#depressed'],trying to get over that i worked boxing night and am working tonight.. oh and im starting to get the flu.. #depressed,0
75,5.5033E+17,5.5033E+17,12/31/2014,collinslark,Just finished the last episode of New Girl ???³ what am I supposed to do now? ,['#depressed'],Just finished the last episode of New Girl ???³ what am I supposed to do now? #depressed,0
76,5.50328E+17,5.50328E+17,12/31/2014,dothelimbo_,Just had my last appt with my nail lady before she leaves ???­???­ ,['#depressed'],Just had my last appt with my nail lady before she leaves ???­???­ #depressed,0
77,5.50325E+17,5.50318E+17,12/31/2014,lovelylunax3,@bcolonx what you leave me? I just came from DR to this!! ???­ ,['#depressed'],@bcolonx what you leave me? I just came from DR to this!! ???­ #depressed,0
78,5.50323E+17,5.50323E+17,12/31/2014,sebastianfreyr8,I don't want this year to be over ,['#depressed'],I don't want this year to be over #depressed,1
79,5.50321E+17,5.50321E+17,12/31/2014,josharronmead,"Too ill and broke to go out tonight, so gunner sit in order fish and chips and watch it on the telly! ???³???­ ",['#depressed'],"Too ill and broke to go out tonight, so gunner sit in order fish and chips and watch it on the telly! ???³???­ #depressed",1
83,5.50317E+17,5.50317E+17,12/31/2014,dan_laverty,Have to work everyday for the rest of the year ,['#depressed'],Have to work everyday for the rest of the year #depressed,1
86,5.50308E+17,5.50308E+17,12/31/2014,queen_of_prep,One of my best friends got engaged ????  ,"['#depressed', '#old']",One of my best friends got engaged ???? #depressed #old,0
89,5.50298E+17,5.50298E+17,12/31/2014,tasha_dutch,Doing absolutely fuck all tonight :(  ,"['#depressed', '#boringasfuck']",Doing absolutely fuck all tonight :( #depressed #boringasfuck,1
92,5.5029E+17,5.5029E+17,12/31/2014,kelistar23,As if my boss just text about work ??™ˆ I'm on holiday ,['#depressed'],As if my boss just text about work ??™ˆ I'm on holiday #depressed,0
97,5.50273E+17,5.50273E+17,12/31/2014,krishna24,"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich  ????",['#depressed'],"It has only dawned on me, browsing Instagram, how the rich people do winter... That's right, they migrate abroad...I'm not rich #depressed ????",1
99,5.50271E+17,5.50271E+17,12/31/2014,halfpizzaleft,Can't believe I'm gonna end this year feeling like ??’©.   ,"['#depressed', '#newyearseve', '#fml']",Can't believe I'm gonna end this year feeling like ??’©. #depressed #NewYearsEve #fml,1
100,5.50269E+17,5.50269E+17,12/31/2014,numan_bajwa_,"Today is just not a good day, looks like 2014 couldn't end without giving me a final kick in the ass ",['#depressed'],"Today is just not a good day, looks like 2014 couldn't end without giving me a final kick in the ass #Depressed",1
103,5.50264E+17,5.50264E+17,12/31/2014,jassy_jesus,"Its been 14 years of journey, I never expect you'll go from this earth today pet's! â€” feeling depressed",['#depressed'],"Its been 14 years of journey, I never expect you'll go from this earth today#RIP#my pet#dog's#love!#depressed â€” feeling depressed",1
104,5.50261E+17,5.50261E+17,12/31/2014,markellewt,???¢ need to book a holiday asap   pic.twitter.com/gRBEuV5aIX,['#depressed'],???¢ need to book a holiday asap #depressed  pic.twitter.com/gRBEuV5aIX,0
105,5.5026E+17,5.5026E+17,12/31/2014,courtneycrois33,3 hours of sleep in the 3 days? I'm dieing  ,"['#insomniac', '#depressed']",3 hours of sleep in the 3 days? I'm dieing #insomniac #depressed,1
106,5.50254E+17,5.50254E+17,12/31/2014,momma__bear_,"If I did not have to work, I would lay in bed all and talk to no one. ",['#depressed'],"If I did not have to work, I would lay in bed all and talk to no one. #depressed",1
111,5.5024E+17,5.5024E+17,12/31/2014,neo_dimo,"It was all good  I was enjoying Tv Until out of nowhere ""I used that R200 to arrange the funeral"" appeared ",['#depressed'],"It was all good  I was enjoying Tv Until out of nowhere ""I used that R200 to arrange the funeral"" appeared #depressed",0
117,5.50223E+17,5.50223E+17,12/31/2014,st3ponme3,i finished parks & rec twice now  :( ,['#depressed'],i finished parks & rec twice now  :( #depressed,0
126,5.502E+17,5.502E+17,12/31/2014,kiwifruit314,This has simply been the hardest week n a half of my life. Gotta keep pushing thru. Only 5 more days til I get some answers. ,['#depressed'],This has simply been the hardest week n a half of my life. Gotta keep pushing thru. Only 5 more days til I get some answers. #depressed,1
127,5.5019E+17,5.5019E+17,12/31/2014,loraaa017,I appreciate the 8 day paid vacation from my job but...i still don't want to return. I feel like quitting but I can't. ,['#depressed'],I appreciate the 8 day paid vacation from my job but...i still don't want to return. I feel like quitting but I can't. #depressed,0
129,5.50189E+17,5.50189E+17,12/31/2014,loraaa017,I'm actually crying because I don't want to return to work on Friday. ,['#depressed'],I'm actually crying because I don't want to return to work on Friday. #depressed,0
133,5.50183E+17,5.50183E+17,12/31/2014,madison_ftw,Alright Charlie St. Cloud you've done it again... Next the fault in your stars or garden state... Maybe the notebook? ,['#depressed'],Alright Charlie St. Cloud you've done it again... Next the fault in your stars or garden state... Maybe the notebook? #depressed,0
136,5.50179E+17,5.50179E+17,12/31/2014,x_taramarie,why doesn't ally have a twitter  ,"['#depressed', '#iseehertomorrow']",why doesn't ally have a twitter #depressed #iseehertomorrow,0
137,5.50178E+17,5.50178E+17,12/31/2014,neuroticbubbles,Why did I have to run into the one person in thos world I don't wanna see today? I just want my peace! ,['#depressed'],Why did I have to run into the one person in thos world I don't wanna see today? I just want my peace! #depressed,1
138,5.50175E+17,5.50175E+17,12/31/2014,redqueenhaunt,"Almost killed myself, God... -.-   ","['#suicidal', '#depressed', '#justkillme']","Almost killed myself, God... -.- #suicidal #depressed #justkillme",1
141,5.50164E+17,5.50164E+17,12/31/2014,brynne_s_s,"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? ",['#depressed'],"I made this account so that I wouldn't be judged by the people I know. Cause if I don't like me, why would anyone else? #depressed",1
145,5.50156E+17,5.50156E+17,12/31/2014,shelby22392587,"It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else.  ","['#depressed', '#fuck']","It hurts to know I'm practically invisible to you now, that I'm more of a bother to you then anything else. #depressed #fuck",1
148,5.50154E+17,5.50154E+17,12/31/2014,mgowen_,When you already have everything.. and you still feel lonely.. feeling  ..,['#depressed'],When you already have everything.. and you still feel lonely.. feeling #depressed ..,1
149,5.50152E+17,5.50152E+17,12/31/2014,miraculousmissy,I was unaware this is how this was gonna be  ,"['#depressed', '#lonely']",I was unaware this is how this was gonna be #depressed #lonely,1
151,5.5015E+17,5.5015E+17,12/31/2014,sashajones1123,Just finished Weeds. My life no longer has purpose. ,['#depressed'],Just finished Weeds. My life no longer has purpose. #depressed,0
152,5.50149E+17,5.50149E+17,12/31/2014,annakirwin,Never tell a blonde that her hair is slowly fading to brown ,['#depressed'],Never tell a blonde that her hair is slowly fading to brown #depressed,0
154,5.50145E+17,5.50145E+17,12/31/2014,breemccormick23,The day when I don't fuck up anymore is the day I will be successful.... ,['#depressed'],The day when I don't fuck up anymore is the day I will be successful.... #depressed,1
155,5.50144E+17,5.50144E+17,12/31/2014,helpmefadeaway,"I don't have any new years resolutions, just a prayer that something will take my life this year   ","['#newyearseve', '#depressed', '#iwanttodie']","I don't have any new years resolutions, just a prayer that something will take my life this year #NewYearsEve #depressed #iwanttodie",1
157,5.50143E+17,5.50143E+17,12/31/2014,jenevievepenk,"Heard Willy Nelson singing The Scientist and thought, ""So THIS is the original!"" Then discovered he was just covering Coldplay. ",['#depressed'],"Heard Willy Nelson singing The Scientist and thought, ""So THIS is the original!"" Then discovered he was just covering Coldplay. #depressed",0
159,5.50139E+17,5.50139E+17,12/31/2014,johannaa_fdez,If I stay got me feeling some type of way  ???­???­???­??’”,['#depressed'],If I stay got me feeling some type of way #depressed ???­???­???­??’”,0
163,5.50132E+17,5.50132E+17,12/31/2014,lucafex,How many suicides does it take for people to realize that what you say fucking mattersâœŒï¸ ?—  ... pic.twitter.com/6JC0QDAYGW,"['#sad', '#depressed', '#depres']",How many suicides does it take for people to realize that what you say fucking mattersâœŒï¸ ?—#sad #depressed #depres... pic.twitter.com/6JC0QDAYGW,0
164,5.50132E+17,5.50132E+17,12/31/2014,claudiat1997,My last day of cheating on my diet and exercise routine is tomorrow   ,"['#sad', '#depressed', '#dying']",My last day of cheating on my diet and exercise routine is tomorrow #sad #depressed #dying,0
167,5.50128E+17,5.50128E+17,12/31/2014,dunaj_andrew,Nooooo  will crack the 10 point mark in the 4th quarter ,"['#bulls', '#depressed']",Nooooo #Bulls will crack the 10 point mark in the 4th quarter #Depressed,0
172,5.50122E+17,5.50122E+17,12/31/2014,melprock,This weekend is the end of bow hunting season. ,['#depressed'],This weekend is the end of bow hunting season. #depressed,0
173,5.50117E+17,5.50117E+17,12/31/2014,alexis_dawn9817,Im not really sad... I just feel empty... ,['#depressed'],Im not really sad... I just feel empty... #depressed,1
175,5.50114E+17,5.50114E+17,12/31/2014,emdawg1069,Just gunna sit here and chew til my gums bleed.. ,['#depressed'],Just gunna sit here and chew til my gums bleed.. #depressed,1
176,5.50112E+17,5.50112E+17,12/31/2014,dakota2465,One day everything will end. It is inevitable but for the love of god why did it have to be my quesarito from taco bell ,['#depressed'],One day everything will end. It is inevitable but for the love of god why did it have to be my quesarito from taco bell #depressed,0
179,5.50109E+17,5.50109E+17,12/31/2014,mrmadnessmd,"give up on wow , carnt play my mage and carnt even pay to change its class so im stuck with a lvl 100 mage :( ",['#depressed'],"give up on wow , carnt play my mage and carnt even pay to change its class so im stuck with a lvl 100 mage :( #depressed",0
180,5.50108E+17,5.50108E+17,12/31/2014,ih8society_,"do you feel  ?  ?  ? direct message me, i would love to interact with you guys ???„???„","['#suicidal', '#depressed', '#etc']","do you feel #suicidal ? #depressed ? #etc ? direct message me, i would love to interact with you guys ???„???„",0
182,5.50107E+17,5.50107E+17,12/31/2014,tiffbrauckman,So upset about not being able to pay for tickets myself :( really want to see the lion king again!!!!! ,['#depressed'],So upset about not being able to pay for tickets myself :( really want to see the lion king again!!!!! #depressed,0
185,5.50098E+17,5.50098E+17,12/31/2014,kandi_,Ugh my arm still hurts!! I just want this to be over and to get back to my life.   ,"['#depressed', '#sad', '#survior']",Ugh my arm still hurts!! I just want this to be over and to get back to my life. #Depressed #Sad #Survior,1
190,5.50095E+17,5.50095E+17,12/31/2014,bangaqua,Wait... I can't believe I've  manga in hiatus  since +/- 2010.... ,"['#junjouromantica', '#licensed', '#depressed']",Wait... I can't believe I've #JunjouRomantica manga in hiatus #licensed since +/- 2010.... #depressed,0
194,5.50092E+17,5.49975E+17,12/31/2014,brodysimpson5,@D_Oliver10 oh I'm regretting it now ,['#depressed'],@D_Oliver10 oh I'm regretting it now #depressed,0
195,5.50087E+17,5.50087E+17,12/31/2014,thepuritylady,'s . Someone destroyed her . Who could have done such an awful thing? pic.twitter.com/L5ubpQp3QK,"['#lucy', '#depressed', '#wubba']",#Lucy's #depressed. Someone destroyed her #Wubba. Who could have done such an awful thing? pic.twitter.com/L5ubpQp3QK,0
201,5.50078E+17,5.50078E+17,12/30/2014,drewboda,Well after inviting everyone... No one is coming.... ,['#depressed'],Well after inviting everyone... No one is coming.... #depressed,1
203,5.50074E+17,5.50074E+17,12/30/2014,sanchezj122,Sucks when your alone in a big world :( ,['#depressed'],Sucks when your alone in a big world :( #depressed,1
205,5.50068E+17,5.50068E+17,12/30/2014,sydalxseb,my whole day was spent in my p-jays  its now 6 o'clock and only now do i have to get dressed ,"['#win', '#depressed']",my whole day was spent in my p-jays #win its now 6 o'clock and only now do i have to get dressed #depressed,1
207,5.50067E+17,5.50067E+17,12/30/2014,mcflyblair,I really did not give Notre Dame a chance in this game.  ,"['#depressed', '#lsu']",I really did not give Notre Dame a chance in this game. #depressed #LSU,0
210,5.50066E+17,5.50066E+17,12/30/2014,taylor4hoof,"Im so glad you can look at me and say Im ignorant, stuiped, and worthless. Its not like I wanted love and support from my mother ",['#depressed'],"Im so glad you can look at me and say Im ignorant, stuiped, and worthless. Its not like I wanted love and support from my mother #depressed",1
213,5.50055E+17,5.50055E+17,12/30/2014,courtneycrois33,And I'm starting to break down;    pic.twitter.com/0Nk3TChkQq,"['#done', '#depressed', '#givingup']",And I'm starting to break down; #done #depressed #givingup pic.twitter.com/0Nk3TChkQq,1
215,5.5005E+17,5.5005E+17,12/30/2014,lessica_jevitt,Do you ever wanna cry in a corner hoping the day goes by faster?... no? Just me? ???…???¢???³???­ OK   ,"['#depressed', '#wtf', '#donewiththisyear']",Do you ever wanna cry in a corner hoping the day goes by faster?... no? Just me? ???…???¢???³???­ OK #depressed #wtf #donewiththisyear,1
216,5.50049E+17,5.50049E+17,12/30/2014,trippygeezus,"I went all my way out from the Vaal to Jozi to submit application forms for a post that closed 11 months ago, I feel stupid, ",['#depressed'],"I went all my way out from the Vaal to Jozi to submit application forms for a post that closed 11 months ago, I feel stupid, #depressed",0
217,5.50048E+17,5.50048E+17,12/30/2014,reannebrown1,When you feel like shit and have no one to vent too   ,"['#depressed', '#dreading2015already', '#fml']",When you feel like shit and have no one to vent too #Depressed #Dreading2015Already #FML,1
220,5.50045E+17,5.50045E+17,12/30/2014,heaubadley,How could Riv close ???© what am I going to do now ,['#depressed'],How could Riv close ???© what am I going to do now #depressed,0
224,5.50043E+17,5.50043E+17,12/30/2014,polotan_avw,I just want my space and my life ????   ,"['#space', '#depressed', '#whatalife']",I just want my space and my life ???? #space #depressed #whatalife,1
228,5.5004E+17,5.5004E+17,12/30/2014,rachellipsey,Just the thought of going back to school  brings tears to me eyes ,['#depressed'],Just the thought of going back to school  brings tears to me eyes #depressed,0
230,5.50034E+17,5.50034E+17,12/30/2014,christathorwhor,Today just isn't a good day for me. :( ,['#depressed'],Today just isn't a good day for me. :( #Depressed,1
231,5.50034E+17,5.50034E+17,12/30/2014,welshybird82,Will start this new year as I did last one... Jobless and skint!   ,"['#miserable', '#nohope', '#depressed']",Will start this new year as I did last one... Jobless and skint! #miserable #nohope #depressed,1
233,5.5003E+17,5.5003E+17,12/30/2014,msleriat,Losing my uncle after the wedding its just....I dunno ,['#depressed'],Losing my uncle after the wedding its just....I dunno #Depressed,1
237,5.50024E+17,5.50024E+17,12/30/2014,rosyknight,".2/2 No chance, they all contain . Why not use a  flour? It would be so easy then most people can eat them. !","['#wheat', '#gf', '#depressed']",".2/2 No chance, they all contain #wheat. Why not use a #GF flour? It would be so easy then most people can eat them. #Depressed!",0
245,5.50012E+17,5.50012E+17,12/30/2014,joshreimann,All of the outside Christmas decorations are put away! ,['#depressed'],All of the outside Christmas decorations are put away! #Depressed,0
247,5.5001E+17,5.5001E+17,12/30/2014,1d2104,Just hoping that 2015 will be better. That would be great.   ,"['#depressed', '#lost', '#hopeless']",Just hoping that 2015 will be better. That would be great. #depressed #Lost #hopeless,1
248,5.50009E+17,5.50009E+17,12/30/2014,jaypenno94,Wish I was in Las Vegas for New Years Eve! Alesso and Ingrosso are bringing the New Year in! Would love to see that!! ,['#depressed'],Wish I was in Las Vegas for New Years Eve! Alesso and Ingrosso are bringing the New Year in! Would love to see that!! #Depressed,0
255,5.49999E+17,5.49999E+17,12/30/2014,beckysue717,"Given the answers after it doesn't matter =   at the bottom, not a single Christian friend.  what now?","['#defeated', '#depressed', '#god']","Given the answers after it doesn't matter = #defeated #depressed at the bottom, not a single Christian friend. #God what now?",1
256,5.49998E+17,5.49998E+17,12/30/2014,sarah_kings03,ive comed to realize that im never gonna get 1/5  ,"['#depressed', '#whydonttheboysfollowme']",ive comed to realize that im never gonna get 1/5 #depressed #WhyDontTheBoysFollowMe,0
257,5.49995E+17,5.49995E+17,12/30/2014,mthietje,I just want soccer season baaaack???­???­???­ ,['#depressed'],I just want soccer season baaaack???­???­???­ #depressed,0
258,5.49986E+17,5.49986E+17,12/30/2014,spacey8156,Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. ,['#depressed'],Laying in bed at 1 pm. Yesterday's therapy session hit me harder than I thought it would. #depressed,1
263,5.49981E+17,5.49981E+17,12/30/2014,dan2494,No one ever looks happy on a bus  ,"['#manchester', '#depressed']",No one ever looks happy on a bus #Manchester #depressed,0
264,5.4998E+17,5.4998E+17,12/30/2014,soawifey,Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. ,['#depressed'],Omg why does everything have to take so long?? If it's my call it should be quick. Just want my baby girl back. #depressed,1
272,5.49974E+17,5.49974E+17,12/30/2014,nwjazz13,Can I just stay in bed and do nothing? I'm not feeling life today...,['#depressed'],Can I just stay in bed and do nothing? I'm not feeling life today...#depressed,1
276,5.49968E+17,5.49968E+17,12/30/2014,meburhaan07,i waz astounded by you my idol ms dhoni...when i came to know i m not going to see you in white jersey ..miss u....  you,"['#depressed', '#love']",i waz astounded by you my idol ms dhoni...when i came to know i m not going to see you in white jersey ..miss u....#depressed #love you,0
280,5.49961E+17,5.49961E+17,12/30/2014,tregimbald,Really disappointed that I haven't been able to take my sled out yet this break ,['#depressed'],Really disappointed that I haven't been able to take my sled out yet this break #depressed,0
281,5.4996E+17,5.4996E+17,12/30/2014,mdellaquaglia,Well that's the car handed back. ,['#depressed'],Well that's the car handed back. #depressed,0
285,5.49954E+17,5.49954E+17,12/30/2014,jae_uniquee,This month has had to be the worst month out of this year ,['#depressed'],This month has had to be the worst month out of this year #depressed,1
287,5.49952E+17,5.49952E+17,12/30/2014,_tkhan, after watching a movie  ???¥???,"['#depressed', '#again']",#Depressed after watching a movie #Again ???¥???,0
